,Unnamed: 0,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source,lastLetter
0,0,Clara Benson,Clara,Benson,female,GH,Africa,2000,False,False,wikidata,a
2,2,Dalia Ziada,Dalia,Ziada,female,EG,Africa,1982,False,False,wikidata,a
3,3,Fatou Haidara,Fatou,Haidara,female,ML,Africa,1962,False,False,wikidata,u
4,4,Claude Haffner,Claude,Haffner,female,,,1976,False,False,wikidata,e
7,7,Diallo Sène,Diallo,Sène,female,ML,Africa,1952,False,False,wikidata,o
8,8,Fatoumata Sylla,Fatoumata,Sylla,female,ML,Africa,1954,False,False,wikidata,a
11,11,Manuella Ollo,Manuella,Ollo,female,,,1985,False,False,wikidata,a
12,12,Awa Traoré,Awa,Traoré,female,ML,Africa,1980,False,False,wikidata,a
17,17,Lorna Doorman,Lorna,Doorman,female,ZW,Africa,1998,False,False,wikidata,a
18,18,Enayat al-Zayyat,Enayat,al-Zayyat,female,EG,Africa,1936,False,False,wikidata,t
20,20,Fatima Hellilou,Fatima,Hellilou,female,DZ,Africa,1955,False,False,wikidata,a
21,21,Fadila Hachemaoui,Fadila,Hachemaoui,female,DZ,Africa,1955,False,False,wikidata,a
22,22,Mervat Farrag,Mervat,Farrag,female,EG,Africa,1960,False,False,wikidata,t
23,23,Ghaniyya Bouhouia,Ghaniyya,Bouhouia,female,DZ,Africa,1988,False,False,wikidata,a
24,24,Bella Keshk,Bella,Keshk,female,EG,Africa,1994,False,False,wikidata,a
25,25,Magda Saleh,Magda,Saleh,female,,,1943,False,False,wikidata,a
26,26,Emna Fakher,Emna,Fakher,female,TN,Africa,1981,False,False,wikidata,a
27,27,Marianne Khoury,Marianne,Khoury,female,EG,Africa,1958,False,False,wikidata,e
33,33,Vicentia Boco,Vicentia,Boco,female,BJ,Africa,1949,False,False,wikidata,a
34,34,Therese Soukup,Therese,Soukup,female,SC,Africa,2003,False,False,wikidata,e
35,35,Aisha Yesufu,Aisha,Yesufu,female,NG,Africa,1973,False,False,wikidata,a
37,37,Priscilla Jana,Priscilla,Jana,female,ZA,Africa,1943,False,False,wikidata,a
42,42,Aïcha Macky,Aïcha,Macky,female,NG,Africa,1982,False,False,wikidata,a
44,44,Philippa Ndisi-Herrmann,Philippa,Ndisi-Herrmann,female,KE,Africa,1985,False,False,wikidata,a
46,46,Bridget Otoo,Bridget,Otoo,female,GH,Africa,1983,False,False,wikidata,t
47,47,Branwen Okpako,Branwen,Okpako,female,NG,Africa,1969,False,False,wikidata,n
48,48,Voahary Rakotovelomanantsoa,Voahary,Rakotovelomanantsoa,female,MG,Africa,1982,False,False,wikidata,y
49,49,Joelle Kayembe,Joelle,Kayembe,female,,,1983,False,False,wikidata,e
50,50,Sophia Byass,Sophia,Byass,female,GM,Africa,1993,False,False,wikidata,a
53,53,Mandisa Makesini,Mandisa,Makesini,female,ZA,Africa,1975,False,False,wikidata,a
55,55,Cynthia Butare,Cynthia,Butare,female,RW,Africa,1987,False,False,wikidata,a
